trade_id,symbol,timestamp,action,price,direction,nanpin_count,avg_price,sl_price,exit_reason,entry_diff,exit_diff,buy_ratio,peak_profit_pips
1,USD_JPY,2025-11-04 16:00,ENTRY_SHORT,153.59,-1,1,153.59,154.44,,0.085,0.397,42.47,0.0
1,USD_JPY,2025-11-05 02:00,NANPIN_SHORT,153.592,-1,2,153.591,154.442,,3.337,2.84,46.06,0.0
1,USD_JPY,2025-11-05 05:00,NANPIN_SHORT,153.628,-1,3,153.60333,154.478,,3.843,3.285,47.05,0.0
1,USD_JPY,2025-11-05 11:00,EXIT,153.318,0,3,153.60333,154.478,ATR_TRAIL,3.058,2.942,46.15,43.7
2,USD_JPY,2025-11-06 02:00,ENTRY_LONG,154.078,1,1,154.078,153.228,,-0.496,0.078,41.83,0.0
2,USD_JPY,2025-11-06 14:00,EXIT,153.884,0,1,154.078,153.228,SECONDARY,0.182,-0.084,43.95,4.8
3,USD_JPY,2025-11-06 14:00,ENTRY_SHORT,153.884,-1,1,153.884,154.734,,0.182,-0.084,43.95,0.0
3,USD_JPY,2025-11-07 04:00,EXIT,153.144,0,1,153.884,154.734,ATR_TRAIL,4.862,3.169,50.01,90.2
5,USD_JPY,2025-11-10 12:00,ENTRY_LONG,153.938,1,1,153.938,153.088,,-0.36,-0.284,44.07,0.0
5,USD_JPY,2025-11-10 13:00,NANPIN_LONG,153.88,1,2,153.909,153.03,,-0.794,-0.619,43.68,0.0
5,USD_JPY,2025-11-11 12:00,EXIT,154.265,0,2,153.909,153.03,ATR_TRAIL,-3.113,-2.546,40.51,45.9
6,USD_JPY,2025-11-13 19:00,ENTRY_SHORT,154.657,-1,1,154.657,155.507,,0.005,-0.019,44.6,0.0
6,USD_JPY,2025-11-13 20:00,NANPIN_SHORT,154.74,-1,2,154.6985,155.59,,0.716,0.425,44.98,0.0
6,USD_JPY,2025-11-14 01:00,EXIT,154.399,0,2,154.6985,155.59,ATR_TRAIL,1.661,1.331,46.1,49.7
9,USD_JPY,2025-11-21 19:00,ENTRY_SHORT,156.786,-1,1,156.786,157.636,,0.054,0.326,39.99,0.0
9,USD_JPY,2025-11-21 20:00,NANPIN_SHORT,156.855,-1,2,156.8205,157.705,,0.529,0.631,40.99,0.0
9,USD_JPY,2025-11-22 01:00,EXIT,156.573,0,2,156.8205,157.705,FRI_CLOSE,1.632,1.579,41.79,28.4
14,USD_JPY,2025-12-02 20:00,ENTRY_LONG,155.928,1,1,155.928,155.078,,-0.149,-0.522,45.96,0.0
14,USD_JPY,2025-12-03 00:00,NANPIN_LONG,155.873,1,2,155.9005,155.023,,-0.871,-1.182,45.67,0.0
14,USD_JPY,2025-12-03 21:00,EXIT,155.416,0,2,155.9005,155.023,PRIMARY,1.041,0.115,48.17,9.5
17,USD_JPY,2025-12-05 21:00,ENTRY_LONG,155.172,1,1,155.172,154.322,,-0.056,-0.163,47.38,0.0
17,USD_JPY,2025-12-06 01:00,EXIT,155.3,0,1,155.172,154.322,FRI_CLOSE,-0.942,-0.989,47.31,8.2
21,USD_JPY,2025-12-08 12:00,ENTRY_SHORT,155.106,-1,1,155.106,155.956,,0.055,-0.641,49.13,0.0
21,USD_JPY,2025-12-08 18:00,EXIT,155.477,0,1,155.106,155.956,SECONDARY,-0.04,-0.449,48.35,2.9
22,USD_JPY,2025-12-08 18:00,ENTRY_LONG,155.477,1,1,155.477,154.627,,-0.04,-0.449,48.35,0.0
22,USD_JPY,2025-12-09 02:00,EXIT,155.752,0,1,155.477,154.627,ATR_TRAIL,-1.783,-1.466,45.96,42.3
25,USD_JPY,2025-12-11 08:00,ENTRY_SHORT,155.752,-1,1,155.752,156.602,,0.433,0.218,47.9,0.0
25,USD_JPY,2025-12-11 11:00,NANPIN_SHORT,155.776,-1,2,155.764,156.626,,1.421,1.085,48.32,0.0
25,USD_JPY,2025-12-11 13:00,NANPIN_SHORT,155.847,-1,3,155.79167,156.697,,1.897,1.533,49.13,0.0
25,USD_JPY,2025-12-12 00:00,EXIT,155.17,0,3,155.79167,156.697,ATR_TRAIL,2.598,2.103,50.88,81.0
26,USD_JPY,2025-12-12 22:00,ENTRY_LONG,156.046,1,1,156.046,155.196,,-0.372,0.13,46.33,0.0
26,USD_JPY,2025-12-13 01:00,EXIT,155.815,0,1,156.046,155.196,FRI_CLOSE,-0.659,-0.355,46.72,0.0
27,USD_JPY,2025-12-15 12:00,ENTRY_SHORT,155.421,-1,1,155.421,156.271,,0.068,-0.28,48.68,0.0
27,USD_JPY,2025-12-15 19:00,EXIT,155.084,0,1,155.421,156.271,ATR_TRAIL,3.249,1.9,52.34,45.5
29,USD_JPY,2025-12-17 16:00,ENTRY_LONG,155.502,1,1,155.502,154.652,,-0.128,-0.093,48.29,0.0
29,USD_JPY,2025-12-17 19:00,NANPIN_LONG,155.464,1,2,155.483,154.614,,-1.793,-1.239,46.28,0.0
29,USD_JPY,2025-12-17 22:00,NANPIN_LONG,155.438,1,3,155.468,154.588,,-3.16,-2.322,44.72,0.0
29,USD_JPY,2025-12-17 23:00,EXIT,155.488,0,3,155.468,154.588,DELTA,-3.136,-2.45,45.74,6.2
36,USD_JPY,2025-12-23 11:00,ENTRY_SHORT,156.352,-1,1,156.352,157.202,,0.376,0.765,46.2,0.0
36,USD_JPY,2025-12-23 19:00,EXIT,155.923,0,1,156.352,157.202,DELTA,4.699,3.991,49.78,42.9
37,USD_JPY,2025-12-29 07:00,ENTRY_LONG,156.5,1,1,156.5,155.65,,-0.136,-0.183,45.99,0.0
37,USD_JPY,2025-12-29 08:00,EXIT,156.485,0,1,156.5,155.65,DELTA,-0.146,-0.29,48.17,0.0
38,USD_JPY,2025-12-29 10:00,ENTRY_SHORT,156.314,-1,1,156.314,157.164,,0.147,-0.292,49.12,0.0
