trade_id,symbol,direction,entry_time,exit_time,entry_price,exit_price,final_avg_price,nanpin_count,pips,lot_p,pnl_yen_p,capital_before_p,capital_after_p,lot_c,pnl_yen_c,capital_before_c,capital_after_c,exit_reason,holding_hours,sl_price,peak_profit_pips,swap_yen_01lot,swap_yen_p,swap_yen_c
1,USD_JPY,SHORT,2025-11-03 19:00:00,2025-11-04 07:00:00,154.156,154.222,154.156,1,-9.6,2.35,-22588,5000000,4977412,4.71,-45176,10000000,9954824,PRIMARY,12.0,154.87546,7.3,-203.0,-4770,-9561
2,USD_JPY,SHORT,2025-11-04 13:00:00,2025-11-05 01:00:00,154.086,153.403,154.086,1,67.3,2.34,157638,4977412,5135049,4.68,315275,9954824,10270099,ATR_TRAIL,12.0,154.77635,67.8,0.0,0,0
3,USD_JPY,LONG,2025-11-06 02:00:00,2025-11-06 17:00:00,154.089,153.708,154.089,1,-36.4,2.42,-87960,5135049,5047089,4.83,-175921,10270099,10094178,PRIMARY,15.0,153.228,4.8,272.0,6582,13138
4,EUR_USD,LONG,2025-11-06 22:00:00,2025-11-08 01:00:00,1.15342,1.15795,1.15355,2,86.4,2.63,348855,5047089,5395944,5.26,697710,10094178,10791887,FRI_CLOSE,27.0,1.14903,38.6,0.0,0,0
5,EUR_JPY,LONG,2025-11-07 21:00:00,2025-11-08 01:00:00,177.02,177.288,177.02,1,25.3,3.32,84011,5395944,5479954,6.64,168021,10791887,10959909,FRI_CLOSE,4.0,176.27,54.0,0.0,0,0
6,USD_JPY,LONG,2025-11-10 11:00:00,2025-11-11 12:00:00,153.822,154.25,153.822,1,43.1,2.58,111146,5479954,5591101,5.16,222293,10959909,11182202,ATR_TRAIL,25.0,153.044,47.4,130.0,3354,6708
7,USD_JPY,SHORT,2025-11-13 19:00:00,2025-11-14 01:00:00,154.546,154.331,154.546,1,20.5,2.63,53938,5591101,5645038,5.26,107875,11182202,11290077,ATR_TRAIL,6.0,155.507,45.5,0.0,0,0
8,EUR_USD,SHORT,2025-11-19 02:00:00,2025-11-20 23:00:00,1.15725,1.15339,1.15766,2,86.5,2.78,373871,5402767,5776638,5.56,747743,10805533,11553276,ATR_TRAIL,45.0,1.16284,68.7,429.0,11926,23852
9,USD_JPY,SHORT,2025-11-19 15:00:00,2025-11-19 20:00:00,155.383,156.28486,155.383,1,-91.2,2.66,-242272,5645038,5402767,5.31,-484544,11290077,10805533,SL,5.0,156.28486,0.0,0.0,0,0
10,USD_JPY,SHORT,2025-11-20 21:00:00,2025-11-21 12:00:00,157.648,157.382,157.648,1,25.6,2.72,69591,5776638,5846230,5.44,139183,11553276,11692459,PRIMARY,15.0,158.55,39.8,0.0,0,0
11,EUR_JPY,SHORT,2025-11-21 10:00:00,2025-11-22 01:00:00,181.552,180.258,181.552,1,127.9,3.58,457956,5818443,6276399,7.16,915912,11636886,12552798,FRI_CLOSE,15.0,182.282,155.7,0.0,0,0
12,USD_JPY,SHORT,2025-11-21 17:00:00,2025-11-22 01:00:00,156.641,156.732,156.641,1,-10.1,2.75,-27787,5846230,5818443,5.5,-55574,11692459,11636886,FRI_CLOSE,8.0,157.762,37.6,0.0,0,0
13,EUR_USD,LONG,2025-11-26 05:00:00,2025-11-27 11:00:00,1.15717,1.16098,1.1574,3,100.5,3.22,504622,6276399,6781022,6.44,1009245,12552798,13562043,DELTA,30.0,1.15025,48.4,-679.0,-21864,-43728
14,EUR_USD,SHORT,2025-11-27 23:00:00,2025-11-29 01:00:00,1.1595,1.15954,1.15884,2,-15.1,3.47,-81915,6781022,6699107,6.94,-163829,13562043,13398214,FRI_CLOSE,26.0,1.16574,35.9,83.0,2880,5760
